Canon,3072,5.60
Canon,3328,10.40
Canon,1024,15.20
Canon,2560,8.00
Canon,4608,4.00
Canon,1024,12.00
Canon,256,8.80
Canon,4352,5.60
Canon,1792,0.80
Canon,2560,7.20
Canon,1280,12.00
Canon,4864,10.40
Canon,4352,4.80
Canon,1280,14.40
Canon,1280,1.60
Canon,2816,11.20
Canon,2304,12.80
Canon,256,9.60
Canon,768,5.60
Canon,4864,14.40
Canon,4608,6.40
Canon,1792,12.80
Canon,768,1.60
Canon,1024,8.00
Canon,1280,14.40
Canon,256,2.40
Canon,1280,12.80
Canon,3072,6.40
Canon,3584,6.40
Canon,1280,16.00
Canon,2048,3.20
Canon,768,8.80
Canon,3072,8.80
Canon,2816,13.60
Canon,4352,3.20
Canon,256,10.40
Canon,5120,16.00
Canon,3584,11.20
Canon,1536,11.20
Canon,768,15.20
Canon,1536,9.60
Canon,4352,5.60
Canon,3584,12.00
Canon,4096,8.00
Canon,1536,1.60
Canon,3584,8.00
Canon,4096,3.20
Canon,2560,11.20
Canon,2560,3.20
Canon,768,13.60
Canon,512,10.40
Canon,3328,12.00
Canon,2304,4.80
Canon,4864,6.40
Canon,2560,8.00
Canon,3840,14.40
Canon,2048,7.20
Canon,1280,4.80
Canon,2048,14.40
Canon,3328,15.20
Canon,3072,13.60
Canon,2560,5.60
Canon,3072,2.40
Canon,1280,7.20
Canon,4352,15.20
Canon,512,0.80
Canon,2304,8.00
Canon,3840,7.20
Canon,4608,15.20
Canon,4864,4.80
Canon,512,2.40
Canon,2560,0.80
Canon,1536,12.00
Canon,1792,4.00
Canon,1024,7.20
Canon,3072,16.00
Canon,4096,0.80
Canon,1280,8.80
Canon,4096,12.00
Canon,5120,10.40
Canon,2048,0.80
Canon,3328,8.80
Canon,4608,4.80
Canon,1536,15.20
Canon,5120,12.00
Canon,4096,13.60
Canon,512,9.60
Canon,3584,13.60
Canon,3584,11.20
Canon,5120,5.60
Canon,1536,4.80
Canon,256,12.00
Canon,2304,14.40
Canon,1792,13.60
Canon,768,13.60
Canon,4352,12.80
Canon,4864,9.60
Canon,768,11.20
Canon,2560,0.80
Canon,2816,4.80
